protocol_type_encoded,service_encoded,logged_in,count,srv_count,dst_host_count,temp0,dst_host_same_src_port_rate
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,509,509,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,509,509,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,509,509,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
0,13,0,511,511,255,0,1.0
